127.0.0.1 - - [15/Jan/2017:15:26:57 +0800] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [15/Jan/2017:15:26:59 +0800] "GET /message_board/index.jsp HTTP/1.1" 200 12343
0:0:0:0:0:0:0:1 - - [15/Jan/2017:15:26:59 +0800] "GET /message_board/CSS/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2017:15:26:59 +0800] "GET /message_board/CSS/public.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2017:15:26:59 +0800] "GET /message_board/img/logo1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2017:15:26:59 +0800] "GET /message_board/img/logo2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2017:15:26:59 +0800] "GET /message_board/img/search.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2017:15:26:59 +0800] "GET /message_board/img/clear.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2017:15:26:59 +0800] "GET /message_board/img/latest.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2017:15:26:59 +0800] "GET /message_board/img/picture.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2017:15:26:59 +0800] "GET /message_board/img/hot.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2017:15:26:59 +0800] "GET /message_board/img/principal.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2017:15:26:59 +0800] "GET /message_board/img/department.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2017:15:27:01 +0800] "GET /message_board/index.jsp HTTP/1.1" 200 12343
0:0:0:0:0:0:0:1 - - [15/Jan/2017:15:27:01 +0800] "GET /message_board/CSS/main.css HTTP/1.1" 200 6732
0:0:0:0:0:0:0:1 - - [15/Jan/2017:15:27:01 +0800] "GET /message_board/CSS/public.css HTTP/1.1" 200 556
0:0:0:0:0:0:0:1 - - [15/Jan/2017:15:27:01 +0800] "GET /message_board/img/logo1.png HTTP/1.1" 200 40615
0:0:0:0:0:0:0:1 - - [15/Jan/2017:15:27:01 +0800] "GET /message_board/img/logo2.png HTTP/1.1" 200 3721
0:0:0:0:0:0:0:1 - - [15/Jan/2017:15:27:01 +0800] "GET /message_board/img/search.png HTTP/1.1" 200 4603
0:0:0:0:0:0:0:1 - - [15/Jan/2017:15:27:01 +0800] "GET /message_board/img/picture.jpg HTTP/1.1" 200 354821
0:0:0:0:0:0:0:1 - - [15/Jan/2017:15:27:01 +0800] "GET /message_board/img/latest.png HTTP/1.1" 200 1718
0:0:0:0:0:0:0:1 - - [15/Jan/2017:15:27:01 +0800] "GET /message_board/img/hot.png HTTP/1.1" 200 1542
0:0:0:0:0:0:0:1 - - [15/Jan/2017:15:27:01 +0800] "GET /message_board/img/principal.png HTTP/1.1" 200 2326
0:0:0:0:0:0:0:1 - - [15/Jan/2017:15:27:01 +0800] "GET /message_board/img/department.png HTTP/1.1" 200 2295
0:0:0:0:0:0:0:1 - - [15/Jan/2017:15:27:01 +0800] "GET /message_board/img/clear.png HTTP/1.1" 200 889
0:0:0:0:0:0:0:1 - - [15/Jan/2017:15:27:01 +0800] "GET /favicon.ico HTTP/1.1" 404 973
