127.0.0.1 - - [20/Feb/2017:13:11:38 +0800] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [20/Feb/2017:13:11:40 +0800] "GET /message_board/index.jsp HTTP/1.1" 200 14061
0:0:0:0:0:0:0:1 - - [20/Feb/2017:13:11:40 +0800] "GET /message_board/CSS/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Feb/2017:13:11:40 +0800] "GET /message_board/JS/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Feb/2017:13:11:40 +0800] "GET /message_board/CSS/public.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Feb/2017:13:11:40 +0800] "GET /message_board/img/picture.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Feb/2017:13:11:43 +0800] "GET /message_board/Department.jsp?object=all HTTP/1.1" 200 9086
0:0:0:0:0:0:0:1 - - [20/Feb/2017:13:11:44 +0800] "GET null null" 400 -
0:0:0:0:0:0:0:1 - - [20/Feb/2017:13:11:49 +0800] "GET /message_board/index.jsp HTTP/1.1" 200 14061
0:0:0:0:0:0:0:1 - - [20/Feb/2017:13:11:49 +0800] "GET /message_board/CSS/main.css HTTP/1.1" 200 5988
0:0:0:0:0:0:0:1 - - [20/Feb/2017:13:11:49 +0800] "GET /message_board/CSS/public.css HTTP/1.1" 200 893
0:0:0:0:0:0:0:1 - - [20/Feb/2017:13:11:49 +0800] "GET /message_board/JS/main.js HTTP/1.1" 200 3823
0:0:0:0:0:0:0:1 - - [20/Feb/2017:13:11:49 +0800] "GET /message_board/img/picture.jpg HTTP/1.1" 200 354821
0:0:0:0:0:0:0:1 - - [20/Feb/2017:13:11:49 +0800] "GET /message_board/img/hot.png HTTP/1.1" 200 1542
0:0:0:0:0:0:0:1 - - [20/Feb/2017:13:11:49 +0800] "GET /message_board/img/latest.png HTTP/1.1" 200 1718
0:0:0:0:0:0:0:1 - - [20/Feb/2017:13:11:49 +0800] "GET /message_board/img/department.png HTTP/1.1" 200 2295
0:0:0:0:0:0:0:1 - - [20/Feb/2017:13:11:49 +0800] "GET /message_board/img/clear.png HTTP/1.1" 200 889
0:0:0:0:0:0:0:1 - - [20/Feb/2017:13:11:49 +0800] "GET /message_board/img/principal.png HTTP/1.1" 200 2326
0:0:0:0:0:0:0:1 - - [20/Feb/2017:13:11:49 +0800] "GET /message_board/img/logo2.png HTTP/1.1" 200 3878
0:0:0:0:0:0:0:1 - - [20/Feb/2017:13:11:49 +0800] "GET /message_board/img/logo1.png HTTP/1.1" 200 40615
0:0:0:0:0:0:0:1 - - [20/Feb/2017:13:11:49 +0800] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [20/Feb/2017:13:11:52 +0800] "GET /message_board/Department.jsp?object=all HTTP/1.1" 200 9086
0:0:0:0:0:0:0:1 - - [20/Feb/2017:13:11:52 +0800] "GET /message_board/Department.jsp?object=%E5%90%8E%E5%8B%A4%E6%9C%8D%E5%8A%A1%E9%83%A8%E9%97%A8 HTTP/1.1" 200 5479
0:0:0:0:0:0:0:1 - - [20/Feb/2017:13:11:53 +0800] "GET /message_board/Department.jsp?object=%E6%A0%A1%E5%9B%AD%E5%AE%89%E4%BF%9D%E9%83%A8%E9%97%A8 HTTP/1.1" 200 5488
0:0:0:0:0:0:0:1 - - [20/Feb/2017:13:11:54 +0800] "GET /message_board/Department.jsp?object=%E8%B4%A2%E5%8A%A1%E9%83%A8%E9%97%A8 HTTP/1.1" 200 5073
0:0:0:0:0:0:0:1 - - [20/Feb/2017:13:11:54 +0800] "GET /message_board/Department.jsp?object=%E6%A0%A1%E5%9B%AD%E5%AE%89%E4%BF%9D%E9%83%A8%E9%97%A8 HTTP/1.1" 200 5488
0:0:0:0:0:0:0:1 - - [20/Feb/2017:13:11:54 +0800] "GET /message_board/Department.jsp?object=%E9%A3%9F%E5%A0%82%E7%9B%91%E7%AE%A1%E9%83%A8%E9%97%A8 HTTP/1.1" 200 5476
0:0:0:0:0:0:0:1 - - [20/Feb/2017:13:11:55 +0800] "GET /message_board/Department.jsp?object=%E5%90%8E%E5%8B%A4%E6%9C%8D%E5%8A%A1%E9%83%A8%E9%97%A8 HTTP/1.1" 200 5479
0:0:0:0:0:0:0:1 - - [20/Feb/2017:13:11:55 +0800] "GET /message_board/Department.jsp?object=%E8%A1%8C%E6%94%BF%E9%83%A8%E9%97%A8 HTTP/1.1" 200 5431
0:0:0:0:0:0:0:1 - - [20/Feb/2017:13:12:05 +0800] "GET /message_board/Department.jsp?object=%E5%90%8E%E5%8B%A4%E6%9C%8D%E5%8A%A1%E9%83%A8%E9%97%A8 HTTP/1.1" 200 5479
0:0:0:0:0:0:0:1 - - [20/Feb/2017:13:12:05 +0800] "GET /message_board/Department.jsp?object=%E9%A3%9F%E5%A0%82%E7%9B%91%E7%AE%A1%E9%83%A8%E9%97%A8 HTTP/1.1" 200 5476
0:0:0:0:0:0:0:1 - - [20/Feb/2017:13:12:05 +0800] "GET /message_board/Department.jsp?object=%E6%A0%A1%E5%9B%AD%E5%AE%89%E4%BF%9D%E9%83%A8%E9%97%A8 HTTP/1.1" 200 5488
0:0:0:0:0:0:0:1 - - [20/Feb/2017:13:12:06 +0800] "GET /message_board/Department.jsp?object=%E5%90%8E%E5%8B%A4%E6%9C%8D%E5%8A%A1%E9%83%A8%E9%97%A8 HTTP/1.1" 200 5479
0:0:0:0:0:0:0:1 - - [20/Feb/2017:13:12:07 +0800] "GET /message_board/Department.jsp?object=%E8%A1%8C%E6%94%BF%E9%83%A8%E9%97%A8 HTTP/1.1" 200 5431
0:0:0:0:0:0:0:1 - - [20/Feb/2017:13:12:08 +0800] "GET /message_board/Department.jsp?object=%E5%90%8E%E5%8B%A4%E6%9C%8D%E5%8A%A1%E9%83%A8%E9%97%A8 HTTP/1.1" 200 5479
0:0:0:0:0:0:0:1 - - [20/Feb/2017:13:12:08 +0800] "GET /message_board/Department.jsp?object=%E9%A3%9F%E5%A0%82%E7%9B%91%E7%AE%A1%E9%83%A8%E9%97%A8 HTTP/1.1" 200 5476
0:0:0:0:0:0:0:1 - - [20/Feb/2017:13:12:09 +0800] "GET /message_board/Department.jsp?object=%E6%A0%A1%E5%9B%AD%E5%AE%89%E4%BF%9D%E9%83%A8%E9%97%A8 HTTP/1.1" 200 5488
0:0:0:0:0:0:0:1 - - [20/Feb/2017:13:12:09 +0800] "GET /message_board/Department.jsp?object=%E9%A3%9F%E5%A0%82%E7%9B%91%E7%AE%A1%E9%83%A8%E9%97%A8 HTTP/1.1" 200 5476
0:0:0:0:0:0:0:1 - - [20/Feb/2017:13:12:10 +0800] "GET /message_board/Department.jsp?object=%E5%90%8E%E5%8B%A4%E6%9C%8D%E5%8A%A1%E9%83%A8%E9%97%A8 HTTP/1.1" 200 5479
0:0:0:0:0:0:0:1 - - [20/Feb/2017:13:12:10 +0800] "GET /message_board/Department.jsp?object=%E8%A1%8C%E6%94%BF%E9%83%A8%E9%97%A8 HTTP/1.1" 200 5431
0:0:0:0:0:0:0:1 - - [20/Feb/2017:13:12:11 +0800] "GET /message_board/Department.jsp?object=%E5%90%8E%E5%8B%A4%E6%9C%8D%E5%8A%A1%E9%83%A8%E9%97%A8 HTTP/1.1" 200 5479
0:0:0:0:0:0:0:1 - - [20/Feb/2017:13:12:11 +0800] "GET /message_board/Department.jsp?object=%E9%A3%9F%E5%A0%82%E7%9B%91%E7%AE%A1%E9%83%A8%E9%97%A8 HTTP/1.1" 200 5476
0:0:0:0:0:0:0:1 - - [20/Feb/2017:13:12:12 +0800] "GET /message_board/Department.jsp?object=%E6%A0%A1%E5%9B%AD%E5%AE%89%E4%BF%9D%E9%83%A8%E9%97%A8 HTTP/1.1" 200 5488
0:0:0:0:0:0:0:1 - - [20/Feb/2017:13:12:12 +0800] "GET /message_board/Department.jsp?object=%E8%B4%A2%E5%8A%A1%E9%83%A8%E9%97%A8 HTTP/1.1" 200 5073
0:0:0:0:0:0:0:1 - - [20/Feb/2017:13:12:13 +0800] "GET /message_board/Department.jsp?object=%E6%A0%A1%E5%9B%AD%E5%AE%89%E4%BF%9D%E9%83%A8%E9%97%A8 HTTP/1.1" 200 5488
