127.0.0.1 - - [18/Mar/2017:08:16:51 +0800] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [18/Mar/2017:08:16:52 +0800] "GET /message_board/Principal.jsp HTTP/1.1" 500 4156
0:0:0:0:0:0:0:1 - - [18/Mar/2017:08:16:52 +0800] "GET /message_board//CSS/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Mar/2017:08:16:52 +0800] "GET /message_board//img/Google+.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Mar/2017:08:16:52 +0800] "GET /message_board//img/twitter.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Mar/2017:08:16:52 +0800] "GET /message_board//img/facebook.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Mar/2017:08:16:52 +0800] "GET /message_board//img/telegram.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Mar/2017:08:16:52 +0800] "GET /message_board///JS/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Mar/2017:08:16:52 +0800] "GET /message_board//img/search.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Mar/2017:08:18:13 +0800] "GET /message_board/Principal.jsp HTTP/1.1" 500 4443
0:0:0:0:0:0:0:1 - - [18/Mar/2017:08:18:25 +0800] "GET /message_board//College.jsp?object=all HTTP/1.1" 200 11155
0:0:0:0:0:0:0:1 - - [18/Mar/2017:08:18:25 +0800] "GET /message_board//JS/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Mar/2017:08:18:29 +0800] "GET /message_board//Principal.jsp?object=all HTTP/1.1" 200 10812
0:0:0:0:0:0:0:1 - - [18/Mar/2017:08:18:36 +0800] "GET /message_board//Principal.jsp?object=all HTTP/1.1" 200 10812
0:0:0:0:0:0:0:1 - - [18/Mar/2017:08:18:36 +0800] "GET /message_board//JS/main.js HTTP/1.1" 200 3695
0:0:0:0:0:0:0:1 - - [18/Mar/2017:08:18:36 +0800] "GET /message_board//CSS/main.css HTTP/1.1" 200 8093
0:0:0:0:0:0:0:1 - - [18/Mar/2017:08:18:36 +0800] "GET /message_board//CSS/public.css HTTP/1.1" 200 893
0:0:0:0:0:0:0:1 - - [18/Mar/2017:08:18:36 +0800] "GET /message_board//img/Google+.png HTTP/1.1" 200 319
0:0:0:0:0:0:0:1 - - [18/Mar/2017:08:18:36 +0800] "GET /message_board//img/twitter.png HTTP/1.1" 200 275
0:0:0:0:0:0:0:1 - - [18/Mar/2017:08:18:36 +0800] "GET /message_board//img/telegram.png HTTP/1.1" 200 317
0:0:0:0:0:0:0:1 - - [18/Mar/2017:08:18:36 +0800] "GET /message_board//img/facebook.png HTTP/1.1" 200 201
0:0:0:0:0:0:0:1 - - [18/Mar/2017:08:18:36 +0800] "GET /message_board//img/principal.png HTTP/1.1" 200 2326
0:0:0:0:0:0:0:1 - - [18/Mar/2017:08:18:36 +0800] "GET /message_board//img/picture.jpg HTTP/1.1" 200 354821
0:0:0:0:0:0:0:1 - - [18/Mar/2017:08:18:36 +0800] "GET /message_board//img/logo1.png HTTP/1.1" 200 40615
0:0:0:0:0:0:0:1 - - [18/Mar/2017:08:18:36 +0800] "GET /message_board//img/search.png HTTP/1.1" 200 341
0:0:0:0:0:0:0:1 - - [18/Mar/2017:08:18:37 +0800] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [18/Mar/2017:08:18:37 +0800] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [18/Mar/2017:08:19:29 +0800] "GET /message_board//Message.jsp HTTP/1.1" 200 7024
0:0:0:0:0:0:0:1 - - [18/Mar/2017:08:19:29 +0800] "GET /message_board//img/message.png HTTP/1.1" 200 1772
0:0:0:0:0:0:0:1 - - [18/Mar/2017:08:19:29 +0800] "GET /message_board//CSS/code_bg.jpg HTTP/1.1" 404 3904
0:0:0:0:0:0:0:1 - - [18/Mar/2017:08:19:33 +0800] "GET /message_board//Department.jsp?object=all HTTP/1.1" 200 10691
0:0:0:0:0:0:0:1 - - [18/Mar/2017:08:19:33 +0800] "GET /message_board//img/department.png HTTP/1.1" 200 2295
0:0:0:0:0:0:0:1 - - [18/Mar/2017:08:19:49 +0800] "GET /message_board//Principal.jsp?object=all HTTP/1.1" 200 10812
0:0:0:0:0:0:0:1 - - [18/Mar/2017:08:25:07 +0800] "GET /message_board//Principal.jsp?object=all HTTP/1.1" 200 10812
0:0:0:0:0:0:0:1 - - [18/Mar/2017:08:25:07 +0800] "GET /message_board//CSS/main.css HTTP/1.1" 200 8093
0:0:0:0:0:0:0:1 - - [18/Mar/2017:08:25:07 +0800] "GET /message_board//CSS/public.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Mar/2017:08:25:07 +0800] "GET /message_board//JS/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Mar/2017:08:25:07 +0800] "GET /message_board//img/logo1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Mar/2017:08:25:07 +0800] "GET /message_board//img/twitter.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Mar/2017:08:25:07 +0800] "GET /message_board//img/facebook.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Mar/2017:08:25:07 +0800] "GET /message_board//img/Google+.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Mar/2017:08:25:07 +0800] "GET /message_board//img/telegram.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Mar/2017:08:25:07 +0800] "GET /message_board//img/picture.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Mar/2017:08:25:07 +0800] "GET /message_board//img/principal.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Mar/2017:08:25:07 +0800] "GET /message_board//img/search.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Mar/2017:08:25:07 +0800] "GET /message_board//Principal.jsp?object=all HTTP/1.1" 200 10812
0:0:0:0:0:0:0:1 - - [18/Mar/2017:08:25:07 +0800] "GET /message_board//CSS/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Mar/2017:08:25:07 +0800] "GET /message_board//CSS/public.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Mar/2017:08:25:07 +0800] "GET /message_board//JS/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Mar/2017:08:25:07 +0800] "GET /message_board//img/logo1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Mar/2017:08:25:07 +0800] "GET /message_board//img/twitter.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Mar/2017:08:25:07 +0800] "GET /message_board//img/Google+.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Mar/2017:08:25:07 +0800] "GET /message_board//img/facebook.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Mar/2017:08:25:07 +0800] "GET /message_board//img/telegram.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Mar/2017:08:25:07 +0800] "GET /message_board//img/principal.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Mar/2017:08:25:07 +0800] "GET /message_board//img/picture.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Mar/2017:08:25:07 +0800] "GET /message_board//img/search.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Mar/2017:08:25:50 +0800] "GET /message_board//Principal.jsp?object=all HTTP/1.1" 200 10812
0:0:0:0:0:0:0:1 - - [18/Mar/2017:08:25:50 +0800] "GET /message_board//CSS/main.css HTTP/1.1" 200 8055
0:0:0:0:0:0:0:1 - - [18/Mar/2017:08:25:50 +0800] "GET /message_board//CSS/public.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Mar/2017:08:25:50 +0800] "GET /message_board//JS/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Mar/2017:08:25:50 +0800] "GET /message_board//img/facebook.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Mar/2017:08:25:50 +0800] "GET /message_board//img/telegram.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Mar/2017:08:25:50 +0800] "GET /message_board//img/logo1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Mar/2017:08:25:50 +0800] "GET /message_board//img/Google+.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Mar/2017:08:25:50 +0800] "GET /message_board//img/twitter.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Mar/2017:08:25:50 +0800] "GET /message_board//img/search.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Mar/2017:08:25:50 +0800] "GET /message_board//img/picture.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Mar/2017:08:25:50 +0800] "GET /message_board//img/principal.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Mar/2017:08:25:51 +0800] "GET /message_board//Principal.jsp?object=all HTTP/1.1" 200 10812
0:0:0:0:0:0:0:1 - - [18/Mar/2017:08:25:51 +0800] "GET /message_board//CSS/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Mar/2017:08:25:51 +0800] "GET /message_board//CSS/public.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Mar/2017:08:25:51 +0800] "GET /message_board//JS/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Mar/2017:08:25:51 +0800] "GET /message_board//img/logo1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Mar/2017:08:25:51 +0800] "GET /message_board//img/telegram.png HTTP/1.1" 304 -
