127.0.0.1 - - [03/Apr/2017:12:29:53 +0800] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [03/Apr/2017:12:29:54 +0800] "GET /message_board/index.jsp HTTP/1.1" 200 19280
0:0:0:0:0:0:0:1 - - [03/Apr/2017:12:29:54 +0800] "GET /message_board//CSS/main.css HTTP/1.1" 200 9243
0:0:0:0:0:0:0:1 - - [03/Apr/2017:12:29:54 +0800] "GET /message_board//JS/imagesloaded.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2017:12:29:54 +0800] "GET /message_board//JS/sangarSlider/sangarBaseClass.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2017:12:29:54 +0800] "GET /message_board//JS/sangarSlider/sangarSetupLayout.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2017:12:29:54 +0800] "GET /message_board//JS/jquery.touchSwipe.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2017:12:29:54 +0800] "GET /message_board//JS/sangarSlider/sangarSizeAndScale.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2017:12:29:54 +0800] "GET /message_board//JS/sangarSlider/sangarSetupNavigation.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2017:12:29:54 +0800] "GET /message_board//JS/sangarSlider/sangarSetupTimer.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2017:12:29:54 +0800] "GET /message_board//JS/sangarSlider/sangarSetupSwipeTouch.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2017:12:29:54 +0800] "GET /message_board//JS/sangarSlider/sangarResponsiveClass.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2017:12:29:54 +0800] "GET /message_board//JS/sangarSlider/sangarResetSlider.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2017:12:29:54 +0800] "GET /message_board/JS/main.js HTTP/1.1" 200 3695
0:0:0:0:0:0:0:1 - - [03/Apr/2017:12:29:54 +0800] "GET /message_board//JS/sangarSlider/sangarLock.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2017:12:29:54 +0800] "GET /message_board//JS/sangarSlider/sangarBeforeAfter.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2017:12:29:54 +0800] "GET /message_board//JS/sangarSlider/sangarShift.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2017:12:29:54 +0800] "GET /message_board//JS/sangarSlider.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2017:12:29:54 +0800] "GET /message_board//JS/sangarSlider/sangarSetupBulletNav.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2017:12:29:54 +0800] "GET /message_board//JS/sangarSlider/sangarTextbox.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2017:12:29:54 +0800] "GET /message_board//JS/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2017:12:29:54 +0800] "GET /message_board//assets/themes/default/sangarSlider.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2017:12:29:54 +0800] "GET /message_board//assets/themes/default/default.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2017:12:29:54 +0800] "GET /message_board//img/facebook.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2017:12:29:54 +0800] "GET /message_board//img/twitter.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2017:12:29:54 +0800] "GET /message_board//img/Google+.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2017:12:29:54 +0800] "GET /message_board//img/telegram.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2017:12:29:54 +0800] "GET /message_board//img/lb3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2017:12:29:54 +0800] "GET /message_board//img/lb2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2017:12:29:54 +0800] "GET /message_board/img/hot.png HTTP/1.1" 200 1542
0:0:0:0:0:0:0:1 - - [03/Apr/2017:12:29:54 +0800] "GET /message_board/img/latest.png HTTP/1.1" 200 1718
0:0:0:0:0:0:0:1 - - [03/Apr/2017:12:29:54 +0800] "GET /message_board/img/department.png HTTP/1.1" 200 2295
0:0:0:0:0:0:0:1 - - [03/Apr/2017:12:29:54 +0800] "GET /message_board//img/search.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2017:12:29:54 +0800] "GET /message_board//img/lb1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2017:12:29:54 +0800] "GET /message_board//img/logo1.png HTTP/1.1" 304 -
